,Player,Gross P/W(EUR),Gross P/Y(EUR),Gross P/Y(EUR),Signed,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027",Years Remaining 12345,Gross Remaining(EUR),Release Clause(EUR),Pos. DFKM,Pos. AMCBCFCMDMGKLBLMRBRW,Age,Status ReserveStarter,Country,Active,Loan,Team,League,Season
19,Diego Coppola,"€ 8,846","€ 460,000",,"Apr 20, 2022","Jun 30, 2027",5,"€ 2,300,000",,D,CB,19,Reserve,Italy,,,Hellas Verona,Serie A,2022-2023
20,Alessandro Berardi,"€ 8,846","€ 460,000",,"Oct 11, 2022","Jun 30, 2025",3,"€ 1,380,000",,K,GK,32,Reserve,Italy,,,Hellas Verona,Serie A,2022-2023
21,Simone Perilli,"€ 8,846","€ 460,000",,"Aug 3, 2022","Jun 30, 2024",2,"€ 920,000",,K,GK,28,Reserve,Italy,,,Hellas Verona,Serie A,2022-2023
22,Juan Cabal,"€ 8,654","€ 450,000",,"Aug 20, 2022","Jun 30, 2027",5,"€ 2,250,000",,D,CB,22,Reserve,Colombia,,,Hellas Verona,Serie A,2022-2023
23,Pawel Dawidowicz,"€ 7,308","€ 380,000",,"May 28, 2021","Jun 30, 2025",3,"€ 1,140,000",,D,CB,27,Reserve,Poland,,,Hellas Verona,Serie A,2022-2023
24,Ajdin Hrustic,"€ 7,308","€ 380,000",,"Sep 1, 2022","Jun 30, 2026",4,"€ 1,520,000",,F,AM,26,Reserve,Australia,,,Hellas Verona,Serie A,2022-2023
25,Cyril Ngonge,"€ 6,154","€ 320,000",,"Jan 19, 2023","Jun 30, 2023",1,"€ 320,000",,F,RW,22,Starter,Belgium,,,Hellas Verona,Serie A,2022-2023
26,Jayden Braaf,"€ 3,654","€ 190,000",,"Jan 16, 2023","Jun 30, 2023",1,"€ 190,000",,F,CF,20,Reserve,Netherlands,,,Hellas Verona,Serie A,2022-2023
27,Filippo Terracciano,"€ 1,731","€ 90,000",,"Aug 4, 2022","Jun 30, 2026",4,"€ 360,000",,M,CM,19,Reserve,Italy,,,Hellas Verona,Serie A,2022-2023
28,Ibrahim Sulemana,"€ 1,346","€ 70,000",,"Jul 1, 2022","Jun 30, 2023",1,"€ 70,000",,M,DM,19,Reserve,Ghana,,,Hellas Verona,Serie A,2022-2023
29,Total,"€ 422,118","€ 21,950,000",€ 0,,,,"€ 48,620,000",€ 0,,,,,,,,Hellas Verona,Serie A,2022-2023
