,Player,Gross P/W(EUR),Gross P/Y(EUR),Gross P/Y(EUR),Signed,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027",Years Remaining 12345,Gross Remaining(EUR),Release Clause(EUR),Pos. DFKM,Pos. AMCBCFCMDMGKLBLMLWRBRMRW,Age,Status ReserveStarter,Country,Active,Loan,Team,League,Season
19,Mattia Perin,"€ 53,462","€ 2,780,000",,"Apr 14, 2022","Jun 30, 2025",3,"€ 8,340,000",,K,GK,30,Reserve,Italy,,,Juventus,Serie A,2022-2023
20,Mattia De Sciglio,"€ 53,462","€ 2,780,000",,"Jun 16, 2022","Jun 30, 2025",3,"€ 8,340,000",,D,LB,30,Starter,Italy,,,Juventus,Serie A,2022-2023
21,Federico Gatti,"€ 35,577","€ 1,850,000",,"Jan 31, 2022","Jun 30, 2027",5,"€ 9,250,000",,D,CB,24,Reserve,Italy,,,Juventus,Serie A,2022-2023
22,Nicolò Fagioli,"€ 35,577","€ 1,850,000",,"Aug 10, 2022","Jun 30, 2026",4,"€ 7,400,000",,M,CM,21,Reserve,Italy,,,Juventus,Serie A,2022-2023
23,Nicolò Rovella,"€ 35,577","€ 1,850,000",,"Aug 31, 2022","Jun 30, 2026",4,€ 0,,M,DM,20,Reserve,Italy,,,Juventus,Serie A,2022-2023
24,Kaio Jorge,"€ 29,615","€ 1,540,000",,"Aug 17, 2021","Jun 30, 2026",4,"€ 6,160,000",,F,CF,21,Reserve,Brazil,,,Juventus,Serie A,2022-2023
25,Mohamed Ihattaren,"€ 14,808","€ 770,000",,"Aug 30, 2021","Jun 30, 2025",3,"€ 2,310,000",,F,AM,20,Reserve,Netherlands,,,Juventus,Serie A,2022-2023
26,Samuel Iling Junior,"€ 12,308","€ 640,000",,"Dec 19, 2022","Jun 30, 2025",3,"€ 1,920,000",,F,LW,19,Reserve,England,,,Juventus,Serie A,2022-2023
27,Fabio Miretti,"€ 10,769","€ 560,000",,"Jul 1, 2022","Jun 30, 2026",4,"€ 2,240,000",,M,CM,19,Reserve,Italy,,,Juventus,Serie A,2022-2023
28,Carlo Pinsoglio,"€ 10,769","€ 560,000",,"Jun 30, 2021","Jun 30, 2023",1,"€ 560,000",,K,GK,32,Reserve,Italy,,,Juventus,Serie A,2022-2023
29,Matías Soulé,"€ 1,346","€ 70,000",,"Jul 1, 2022","Jun 30, 2026",4,"€ 280,000",,F,RW,19,Reserve,Argentina,,,Juventus,Serie A,2022-2023
30,Total,"€ 3,131,731","€ 162,850,000","€ 8,890,000",,,,"€ 376,490,000",€ 0,,,,,,,,Juventus,Serie A,2022-2023
