,Player,Gross P/W(EUR),Gross P/Y(EUR),Gross P/Y(EUR).1,Signed,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027",Years Remaining 12345,Gross Remaining(EUR),Release Clause(EUR),Pos. DFKM,Pos. AMCBCFCMDMGKLBLWRBRW,Age,Status ReserveStarter,Country,Active,Loan,Team,League,Season,Pos. AMCBCFCMDMGKLBLWRBSS,Pos. CBCFCMDMGKLBLWRB,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2027",Years Remaining 1235,Pos. AMCBCFCMDMGKLBLMRBRW,Pos. AMCBCFCMDMGKLBLMRBRMSS,Pos. AMCBCFCMDMGKLBLMLWRBRMRW,Pos. CBCFCMDMGKLBLMLWRBRW,Pos. CBCFCMDMGKLBLWRBRW,Pos. AMCBCFCMDMGKLBRBRWSS,Pos. AMCBCFCMDMGKLBLMLWRBRWSS,Pos. CBCFCMDMGKLBRBRM,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026",Years Remaining 1234,Pos. AMCBCFCMDMGKLBLMLWRBRW,Pos. AMCBCFCMDMGKLWRBRW,Pos. AMCBCFCMDMGKLBRBRW
50,Brandon Soppy,"€ 14,808","€ 770,000",,"Aug 19, 2022","Jun 30, 2026",4.0,"€ 3,080,000",,D,,20.0,Reserve,France,,,Atalanta,Serie A,2022-2023,RB,,,,,,,,,,,,,,,,
51,Rasmus Højlund,"€ 12,308","€ 640,000",,"Aug 27, 2022","Jun 30, 2027",5.0,"€ 3,200,000",,F,,19.0,Starter,Denmark,,,Atalanta,Serie A,2022-2023,CF,,,,,,,,,,,,,,,,
52,Giorgio Scalvini,"€ 10,769","€ 560,000",,"Jul 9, 2021","Jun 30, 2027",5.0,"€ 2,800,000",,D,,19.0,Starter,Italy,,,Atalanta,Serie A,2022-2023,CB,,,,,,,,,,,,,,,,
53,Francesco Rossi,"€ 3,654","€ 190,000",,"Jan 8, 2022","Jun 30, 2024",2.0,"€ 380,000",,K,,31.0,Reserve,Italy,,,Atalanta,Serie A,2022-2023,GK,,,,,,,,,,,,,,,,
54,Matteo Ruggeri,"€ 1,346","€ 70,000",,"Jul 9, 2021","Jun 30, 2026",4.0,"€ 280,000",,D,,20.0,Reserve,Italy,,,Atalanta,Serie A,2022-2023,LB,,,,,,,,,,,,,,,,
55,Simone Muratore,€ 769,"€ 40,000",,"Sep 1, 2020","Jun 30, 2023",1.0,"€ 40,000",,M,,24.0,Reserve,Italy,,,Atalanta,Serie A,2022-2023,CM,,,,,,,,,,,,,,,,
56,Total,"€ 754,424","€ 39,230,000",€ 0,,,,"€ 107,880,000",€ 0,,,,,,,,Atalanta,Serie A,2022-2023,,,,,,,,,,,,,,,,,
57,Marko Arnautovic,"€ 66,538","€ 3,460,000",,"Aug 1, 2021","Jun 30, 2025",3.0,"€ 10,380,000",,F,CF,33.0,Starter,Austria,,,Bologna,Serie A,2022-2023,,,,,,,,,,,,,,,,,
58,Nicola Sansone,"€ 39,423","€ 2,050,000",,"Jul 1, 2019","Jun 30, 2023",1.0,"€ 2,050,000",,F,LW,31.0,Reserve,Italy,,,Bologna,Serie A,2022-2023,,,,,,,,,,,,,,,,,
59,Roberto Soriano,"€ 39,423","€ 2,050,000",,"Jul 1, 2019","Jun 30, 2023",1.0,"€ 2,050,000",,F,AM,31.0,Reserve,Italy,,,Bologna,Serie A,2022-2023,,,,,,,,,,,,,,,,,
60,Riccardo Orsolini,"€ 39,231","€ 2,040,000",,"Jul 1, 2019","Jun 30, 2024",2.0,"€ 4,080,000",,F,RW,26.0,Starter,Italy,,,Bologna,Serie A,2022-2023,,,,,,,,,,,,,,,,,
61,Gary Medel,"€ 36,923","€ 1,920,000",,"May 11, 2022","Jun 30, 2023",1.0,"€ 1,920,000",,M,DM,35.0,Reserve,Chile,,,Bologna,Serie A,2022-2023,,,,,,,,,,,,,,,,,
62,Kevin Bonifazi,"€ 35,577","€ 1,850,000",,"Jul 2, 2021","Jun 30, 2025",3.0,"€ 5,550,000",,D,CB,26.0,Reserve,Italy,,,Bologna,Serie A,2022-2023,,,,,,,,,,,,,,,,,
63,Andrea Cambiaso,"€ 35,577","€ 1,850,000",,"Jul 15, 2022","Jun 30, 2023",1.0,"€ 1,850,000",,D,LB,22.0,Starter,Italy,,,Bologna,Serie A,2022-2023,,,,,,,,,,,,,,,,,
64,Lukasz Skorupski,"€ 32,115","€ 1,670,000",,"Aug 5, 2022","Jun 30, 2025",3.0,"€ 5,010,000",,K,GK,31.0,Starter,Poland,,,Bologna,Serie A,2022-2023,,,,,,,,,,,,,,,,,
65,Lorenzo De Silvestri,"€ 32,115","€ 1,670,000",,"Jun 1, 2022","Jun 30, 2023",1.0,"€ 1,670,000",,D,RB,34.0,Reserve,Italy,,,Bologna,Serie A,2022-2023,,,,,,,,,,,,,,,,,
66,Musa Barrow,"€ 28,462","€ 1,480,000",,"Jul 1, 2021","Jun 30, 2025",3.0,"€ 4,440,000",,F,LW,24.0,Reserve,The Gambia,,,Bologna,Serie A,2022-2023,,,,,,,,,,,,,,,,,
67,Adama Soumaoro,"€ 26,731","€ 1,390,000",,"Jul 1, 2021","Jun 30, 2024",2.0,"€ 2,780,000",,D,CB,30.0,Reserve,France,,,Bologna,Serie A,2022-2023,,,,,,,,,,,,,,,,,
68,Francesco Bardi,"€ 25,000","€ 1,300,000",,"Jul 5, 2022","Jun 30, 2023",1.0,"€ 1,300,000",,K,GK,31.0,Reserve,Italy,,,Bologna,Serie A,2022-2023,,,,,,,,,,,,,,,,,
69,Nikola Moro,"€ 23,846","€ 1,240,000",,"Aug 29, 2022","Jun 30, 2023",1.0,"€ 1,240,000",,M,DM,24.0,Reserve,Croatia,,,Bologna,Serie A,2022-2023,,,,,,,,,,,,,,,,,
70,Joshua Zirkzee,"€ 22,115","€ 1,150,000",,"Aug 30, 2022","Jun 30, 2026",4.0,"€ 4,600,000",,F,CF,21.0,Reserve,Netherlands,,,Bologna,Serie A,2022-2023,,,,,,,,,,,,,,,,,
71,Stefan Posch,"€ 19,231","€ 1,000,000",,"Sep 1, 2022","Jun 30, 2023",1.0,"€ 1,000,000",,D,CB,25.0,Starter,Austria,,,Bologna,Serie A,2022-2023,,,,,,,,,,,,,,,,,
72,Jhon Lucumí,"€ 18,462","€ 960,000",,"Aug 18, 2022","Jun 30, 2025",3.0,"€ 2,880,000",,D,CB,24.0,Reserve,Colombia,,,Bologna,Serie A,2022-2023,,,,,,,,,,,,,,,,,
73,Charalampos Lykogiannis,"€ 17,885","€ 930,000",,"Jul 1, 2022","Jun 30, 2024",2.0,"€ 1,860,000",,D,LB,29.0,Starter,Greece,,,Bologna,Serie A,2022-2023,,,,,,,,,,,,,,,,,
74,Nicolás Domínguez,"€ 17,308","€ 900,000",,"Aug 30, 2019","Jun 30, 2024",2.0,"€ 1,800,000",,M,CM,24.0,Starter,Argentina,,,Bologna,Serie A,2022-2023,,,,,,,,,,,,,,,,,
75,Jerdy Schouten,"€ 12,308","€ 640,000",,"Aug 23, 2022","Jun 30, 2026",4.0,"€ 2,560,000",,M,DM,26.0,Starter,Netherlands,,,Bologna,Serie A,2022-2023,,,,,,,,,,,,,,,,,
76,Michel Aebischer,"€ 12,308","€ 640,000",,"Jul 1, 2022","Jun 30, 2026",4.0,"€ 2,560,000",,M,CM,26.0,Starter,Switzerland,,,Bologna,Serie A,2022-2023,,,,,,,,,,,,,,,,,
77,Gabriele Corbo,"€ 10,769","€ 560,000",,"Jul 1, 2019","Jun 30, 2023",1.0,"€ 560,000",,D,CB,23.0,Reserve,Italy,,,Bologna,Serie A,2022-2023,,,,,,,,,,,,,,,,,
78,Lewis Ferguson,"€ 9,808","€ 510,000",,"Jul 12, 2022","Jun 30, 2026",4.0,"€ 2,040,000",,M,CM,23.0,Reserve,Scotland,,,Bologna,Serie A,2022-2023,,,,,,,,,,,,,,,,,
79,Georgios Kyriakopoulos,"€ 9,808","€ 510,000",,"Jan 31, 2023","Jun 30, 2023",1.0,"€ 510,000",,D,LB,26.0,Starter,Greece,,,Bologna,Serie A,2022-2023,,,,,,,,,,,,,,,,,
80,Joaquín Sosa,"€ 7,308","€ 380,000",,"Aug 17, 2022","Jun 30, 2027",5.0,"€ 1,900,000",,D,CB,21.0,Starter,Uruguay,,,Bologna,Serie A,2022-2023,,,,,,,,,,,,,,,,,
81,Kacper Urbanski,"€ 1,731","€ 90,000",,"Jul 1, 2022","Jun 30, 2023",1.0,"€ 90,000",,M,DM,18.0,Reserve,Poland,,,Bologna,Serie A,2022-2023,,,,,,,,,,,,,,,,,
