,Player,Gross P/W(EUR),Gross P/Y(EUR),Gross P/Y(EUR).1,Signed,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027",Years Remaining 12345,Gross Remaining(EUR),Release Clause(EUR),Pos. DFKM,Pos. AMCBCFCMDMGKLBLWRBRW,Age,Status ReserveStarter,Country,Active,Loan,Team,League,Season,Pos. AMCBCFCMDMGKLBLWRBSS,Pos. CBCFCMDMGKLBLWRB,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2027",Years Remaining 1235,Pos. AMCBCFCMDMGKLBLMRBRW,Pos. AMCBCFCMDMGKLBLMRBRMSS,Pos. AMCBCFCMDMGKLBLMLWRBRMRW,Pos. CBCFCMDMGKLBLMLWRBRW,Pos. CBCFCMDMGKLBLWRBRW,Pos. AMCBCFCMDMGKLBRBRWSS,Pos. AMCBCFCMDMGKLBLMLWRBRWSS,Pos. CBCFCMDMGKLBRBRM,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026",Years Remaining 1234,Pos. AMCBCFCMDMGKLBLMLWRBRW,Pos. AMCBCFCMDMGKLWRBRW,Pos. AMCBCFCMDMGKLBRBRW
210,Joaquín Correa,"€ 124,615","€ 6,480,000",,"Jul 1, 2022","Jun 30, 2025",3.0,"€ 19,440,000",,F,,28.0,Reserve,Argentina,,,Inter Milan,Serie A,2022-2023,,,,,,SS,,,,,,,,,,,
211,Alexis Sánchez,"€ 110,962","€ 5,770,000",,"Jul 1, 2021","Jun 30, 2023",1.0,"€ 5,770,000",,F,,33.0,Reserve,Chile,,,Inter Milan,Serie A,2022-2023,,,,,,CF,,,,,,,,,,,
212,Milan Skriniar,"€ 106,923","€ 5,560,000",,"May 16, 2019","Jun 30, 2023",1.0,"€ 5,560,000",,D,,27.0,Starter,Slovakia,,,Inter Milan,Serie A,2022-2023,,,,,,CB,,,,,,,,,,,
213,Alessandro Bastoni,"€ 99,808","€ 5,190,000",,"May 28, 2021","Jun 30, 2024",2.0,"€ 10,380,000",,D,,23.0,Starter,Italy,,,Inter Milan,Serie A,2022-2023,,,,,,CB,,,,,,,,,,,
214,Henrikh Mkhitaryan,"€ 93,654","€ 4,870,000",,"Jul 1, 2022","Jun 30, 2024",2.0,"€ 9,740,000",,F,,34.0,Starter,Armenia,,,Inter Milan,Serie A,2022-2023,,,,,,AM,,,,,,,,,,,
215,Robin Gosens,"€ 89,038","€ 4,630,000",,"Jan 27, 2022","Jun 30, 2023",1.0,"€ 4,630,000",,M,,28.0,Reserve,Germany,,,Inter Milan,Serie A,2022-2023,,,,,,LM,,,,,,,,,,,
216,Samir Handanovic,"€ 89,038","€ 4,630,000",,"Jul 9, 2022","Jun 30, 2023",1.0,"€ 4,630,000",,K,,38.0,Reserve,Slovenia,,,Inter Milan,Serie A,2022-2023,,,,,,GK,,,,,,,,,,,
217,André Onana,"€ 74,038","€ 3,850,000",,"Jul 1, 2022","Jun 30, 2027",5.0,"€ 19,250,000",,K,,26.0,Starter,Cameroon,,,Inter Milan,Serie A,2022-2023,,,,,,GK,,,,,,,,,,,
218,Danilo D'Ambrosio,"€ 71,154","€ 3,700,000",,"Jun 28, 2021","Jun 30, 2023",1.0,"€ 3,700,000",,D,,34.0,Reserve,Italy,,,Inter Milan,Serie A,2022-2023,,,,,,CB,,,,,,,,,,,
219,Denzel Dumfries,"€ 61,731","€ 3,210,000",,"Aug 14, 2021","Jun 30, 2025",3.0,"€ 9,630,000",,M,,26.0,Starter,Netherlands,,,Inter Milan,Serie A,2022-2023,,,,,,RM,,,,,,,,,,,
220,Matteo Darmian,"€ 61,731","€ 3,210,000",,"Feb 2, 2023","Jun 30, 2024",2.0,"€ 6,420,000",,D,,33.0,Starter,Italy,,,Inter Milan,Serie A,2022-2023,,,,,,RB,,,,,,,,,,,
221,Federico Dimarco,"€ 56,923","€ 2,960,000",,"Dec 23, 2021","Jun 30, 2026",4.0,"€ 11,840,000",,D,,25.0,Reserve,Italy,,,Inter Milan,Serie A,2022-2023,,,,,,LB,,,,,,,,,,,
222,Roberto Gagliardini,"€ 53,462","€ 2,780,000",,"Oct 25, 2018","Jun 30, 2023",1.0,"€ 2,780,000",,M,,28.0,Reserve,Italy,,,Inter Milan,Serie A,2022-2023,,,,,,CM,,,,,,,,,,,
223,Francesco Acerbi,"€ 53,462","€ 2,780,000",,"Sep 1, 2022","Jun 30, 2023",1.0,"€ 2,780,000",,D,,34.0,Reserve,Italy,,,Inter Milan,Serie A,2022-2023,,,,,,CB,,,,,,,,,,,
224,Dalbert,"€ 42,692","€ 2,220,000",,"Oct 25, 2018","Jun 30, 2023",1.0,"€ 2,220,000",,D,,29.0,Reserve,Brazil,,,Inter Milan,Serie A,2022-2023,,,,,,LB,,,,,,,,,,,
225,Raoul Bellanova,"€ 32,115","€ 1,670,000",,"Jul 6, 2022","Jun 30, 2023",1.0,"€ 1,670,000",,D,,22.0,Reserve,Italy,,,Inter Milan,Serie A,2022-2023,,,,,,RB,,,,,,,,,,,
226,Kristjan Asllani,"€ 29,615","€ 1,540,000",,"Jul 1, 2022","Jun 30, 2023",1.0,"€ 1,540,000",,M,,20.0,Reserve,Albania,,,Inter Milan,Serie A,2022-2023,,,,,,DM,,,,,,,,,,,
227,Alex Cordaz,"€ 5,385","€ 280,000",,"Jun 23, 2022","Jun 30, 2023",1.0,"€ 280,000",,K,,40.0,Reserve,Italy,,,Inter Milan,Serie A,2022-2023,,,,,,GK,,,,,,,,,,,
228,Mattia Zanotti,"€ 2,115","€ 110,000",,"Oct 1, 2021","Jun 30, 2025",3.0,"€ 330,000",,D,,20.0,Reserve,Italy,,,Inter Milan,Serie A,2022-2023,,,,,,RB,,,,,,,,,,,
229,Valentín Carboni,"€ 1,731","€ 90,000",,"Sep 1, 2020","Jun 30, 2023",1.0,"€ 90,000",,F,,17.0,Reserve,Argentina,,,Inter Milan,Serie A,2022-2023,,,,,,AM,,,,,,,,,,,
230,Alessandro Fontanarosa,"€ 1,346","€ 70,000",,"Aug 20, 2019","Jun 30, 2023",1.0,"€ 70,000",,D,,19.0,Reserve,Italy,,,Inter Milan,Serie A,2022-2023,,,,,,CB,,,,,,,,,,,
231,Total,"€ 2,568,077","€ 133,540,000",€ 0,,,,"€ 294,390,000",€ 0,,,,,,,,Inter Milan,Serie A,2022-2023,,,,,,,,,,,,,,,,,
232,Dusan Vlahovic,"€ 249,231","€ 12,960,000",,"Jan 28, 2022","Jun 30, 2026",4.0,"€ 51,840,000",,F,,23.0,Starter,Serbia,,,Juventus,Serie A,2022-2023,,,,,,,CF,,,,,,,,,,
233,Wojciech Szczesny,"€ 231,538","€ 12,040,000",,"Feb 11, 2020","Jun 30, 2024",2.0,"€ 24,080,000",,K,,32.0,Starter,Poland,,,Juventus,Serie A,2022-2023,,,,,,,GK,,,,,,,,,,
234,Leonardo Bonucci,"€ 231,538","€ 12,040,000",,"Nov 19, 2019","Jun 30, 2024",2.0,"€ 24,080,000",,D,,35.0,Reserve,Italy,,,Juventus,Serie A,2022-2023,,,,,,,CB,,,,,,,,,,
235,Alex Sandro,"€ 213,654","€ 11,110,000",,"Dec 20, 2018","Jun 30, 2023",1.0,"€ 11,110,000",,D,,32.0,Starter,Brazil,,,Juventus,Serie A,2022-2023,,,,,,,LB,,,,,,,,,,
236,Paul Pogba,"€ 197,308","€ 10,260,000","€ 2,560,000","Jul 11, 2022","Jun 30, 2026",4.0,"€ 41,040,000",,M,,29.0,Reserve,France,,,Juventus,Serie A,2022-2023,,,,,,,CM,,,,,,,,,,
237,Juan Cuadrado,"€ 178,077","€ 9,260,000",,"Apr 15, 2022","Jun 30, 2023",1.0,"€ 9,260,000",,M,,34.0,Reserve,Colombia,,,Juventus,Serie A,2022-2023,,,,,,,RM,,,,,,,,,,
238,Bremer,"€ 178,077","€ 9,260,000","€ 1,850,000","Jul 20, 2022","Jun 30, 2027",5.0,"€ 46,300,000",,D,,25.0,Starter,Brazil,,,Juventus,Serie A,2022-2023,,,,,,,CB,,,,,,,,,,
239,Federico Chiesa,"€ 178,077","€ 9,260,000",,"Jul 1, 2022","Jun 30, 2025",3.0,"€ 27,780,000",,F,,25.0,Starter,Italy,,,Juventus,Serie A,2022-2023,,,,,,,RW,,,,,,,,,,
240,Adrien Rabiot,"€ 172,500","€ 8,970,000","€ 2,560,000","Jul 1, 2019","Jun 30, 2023",1.0,"€ 8,970,000",,M,,27.0,Starter,France,,,Juventus,Serie A,2022-2023,,,,,,,CM,,,,,,,,,,
241,Leandro Paredes,"€ 172,500","€ 8,970,000","€ 640,000","Aug 31, 2022","Jun 30, 2023",1.0,"€ 8,970,000",,M,,28.0,Reserve,Argentina,,,Juventus,Serie A,2022-2023,,,,,,,DM,,,,,,,,,,
242,Ángel Di María,"€ 147,885","€ 7,690,000","€ 1,280,000","Jul 8, 2022","Jun 30, 2023",1.0,"€ 7,690,000",,F,,34.0,Starter,Argentina,,,Juventus,Serie A,2022-2023,,,,,,,RW,,,,,,,,,,
243,Daniele Rugani,"€ 124,615","€ 6,480,000",,"Mar 28, 2019","Jun 30, 2024",2.0,"€ 12,960,000",,D,,28.0,Reserve,Italy,,,Juventus,Serie A,2022-2023,,,,,,,CB,,,,,,,,,,
244,Manuel Locatelli,"€ 106,923","€ 5,560,000",,"Aug 18, 2021","Jun 30, 2023",1.0,"€ 5,560,000",,M,,25.0,Starter,Italy,,,Juventus,Serie A,2022-2023,,,,,,,DM,,,,,,,,,,
245,Danilo,"€ 98,654","€ 5,130,000",,"Mar 2, 2023","Jun 30, 2025",3.0,"€ 15,390,000",,D,,31.0,Starter,Brazil,,,Juventus,Serie A,2022-2023,,,,,,,RB,,,,,,,,,,
246,Arkadiusz Milik,"€ 86,346","€ 4,490,000",,"Aug 26, 2022","Jun 30, 2023",1.0,"€ 4,490,000",,F,,28.0,Reserve,Poland,,,Juventus,Serie A,2022-2023,,,,,,,CF,,,,,,,,,,
247,Aaron Ramsey,"€ 74,038","€ 3,850,000",,,"Jun 30, 2023",1.0,"€ 3,850,000",,M,,31.0,Reserve,Wales,,,Juventus,Serie A,2022-2023,,,,,,,CM,,,,,,,,,,
248,Moise Kean,"€ 74,038","€ 3,850,000",,"Aug 31, 2021","Jun 30, 2023",1.0,"€ 3,850,000",,F,,22.0,Reserve,Italy,,,Juventus,Serie A,2022-2023,,,,,,,CF,,,,,,,,,,
249,Arthur,"€ 61,731","€ 3,210,000",,"Sep 1, 2022","Jun 30, 2025",3.0,"€ 9,630,000",,M,,26.0,Reserve,Brazil,,,Juventus,Serie A,2022-2023,,,,,,,DM,,,,,,,,,,
250,Filip Kostić,"€ 61,731","€ 3,210,000",,"Aug 12, 2022","Jun 30, 2026",4.0,"€ 12,840,000",,M,,30.0,Starter,Serbia,,,Juventus,Serie A,2022-2023,,,,,,,LM,,,,,,,,,,
251,Mattia Perin,"€ 53,462","€ 2,780,000",,"Apr 14, 2022","Jun 30, 2025",3.0,"€ 8,340,000",,K,,30.0,Reserve,Italy,,,Juventus,Serie A,2022-2023,,,,,,,GK,,,,,,,,,,
252,Mattia De Sciglio,"€ 53,462","€ 2,780,000",,"Jun 16, 2022","Jun 30, 2025",3.0,"€ 8,340,000",,D,,30.0,Starter,Italy,,,Juventus,Serie A,2022-2023,,,,,,,LB,,,,,,,,,,
253,Federico Gatti,"€ 35,577","€ 1,850,000",,"Jan 31, 2022","Jun 30, 2027",5.0,"€ 9,250,000",,D,,24.0,Reserve,Italy,,,Juventus,Serie A,2022-2023,,,,,,,CB,,,,,,,,,,
254,Nicolò Fagioli,"€ 35,577","€ 1,850,000",,"Aug 10, 2022","Jun 30, 2026",4.0,"€ 7,400,000",,M,,21.0,Reserve,Italy,,,Juventus,Serie A,2022-2023,,,,,,,CM,,,,,,,,,,
255,Nicolò Rovella,"€ 35,577","€ 1,850,000",,"Aug 31, 2022","Jun 30, 2026",4.0,€ 0,,M,,20.0,Reserve,Italy,,,Juventus,Serie A,2022-2023,,,,,,,DM,,,,,,,,,,
256,Kaio Jorge,"€ 29,615","€ 1,540,000",,"Aug 17, 2021","Jun 30, 2026",4.0,"€ 6,160,000",,F,,21.0,Reserve,Brazil,,,Juventus,Serie A,2022-2023,,,,,,,CF,,,,,,,,,,
257,Mohamed Ihattaren,"€ 14,808","€ 770,000",,"Aug 30, 2021","Jun 30, 2025",3.0,"€ 2,310,000",,F,,20.0,Reserve,Netherlands,,,Juventus,Serie A,2022-2023,,,,,,,AM,,,,,,,,,,
258,Samuel Iling Junior,"€ 12,308","€ 640,000",,"Dec 19, 2022","Jun 30, 2025",3.0,"€ 1,920,000",,F,,19.0,Reserve,England,,,Juventus,Serie A,2022-2023,,,,,,,LW,,,,,,,,,,
259,Fabio Miretti,"€ 10,769","€ 560,000",,"Jul 1, 2022","Jun 30, 2026",4.0,"€ 2,240,000",,M,,19.0,Reserve,Italy,,,Juventus,Serie A,2022-2023,,,,,,,CM,,,,,,,,,,
260,Carlo Pinsoglio,"€ 10,769","€ 560,000",,"Jun 30, 2021","Jun 30, 2023",1.0,"€ 560,000",,K,,32.0,Reserve,Italy,,,Juventus,Serie A,2022-2023,,,,,,,GK,,,,,,,,,,
261,Matías Soulé,"€ 1,346","€ 70,000",,"Jul 1, 2022","Jun 30, 2026",4.0,"€ 280,000",,F,,19.0,Reserve,Argentina,,,Juventus,Serie A,2022-2023,,,,,,,RW,,,,,,,,,,
262,Total,"€ 3,131,731","€ 162,850,000","€ 8,890,000",,,,"€ 376,490,000",€ 0,,,,,,,,Juventus,Serie A,2022-2023,,,,,,,,,,,,,,,,,
263,Ciro Immobile,"€ 142,500","€ 7,410,000",,"Jun 30, 2021","Jun 30, 2026",4.0,"€ 29,640,000",,F,,32.0,Starter,Italy,,,Lazio,Serie A,2022-2023,,,,,,,,CF,,,,,,,,,
264,Sergej Milinković-Savić,"€ 114,038","€ 5,930,000",,"Oct 1, 2018","Jun 30, 2024",2.0,"€ 11,860,000",,M,,27.0,Starter,Serbia,,,Lazio,Serie A,2022-2023,,,,,,,,CM,,,,,,,,,
265,Alessio Romagnoli,"€ 106,923","€ 5,560,000","€ 740,000","Jul 12, 2022","Jun 30, 2027",5.0,"€ 27,800,000",,D,,28.0,Starter,Italy,,,Lazio,Serie A,2022-2023,,,,,,,,CB,,,,,,,,,
266,Luis Alberto,"€ 89,038","€ 4,630,000","€ 1,850,000","Sep 28, 2020","Jun 30, 2025",3.0,"€ 13,890,000",,M,,30.0,Starter,Spain,,,Lazio,Serie A,2022-2023,,,,,,,,CM,,,,,,,,,
267,Mattia Zaccagni,"€ 71,154","€ 3,700,000",,"Jul 1, 2022","Jun 30, 2025",3.0,"€ 11,100,000",,F,,27.0,Starter,Italy,,,Lazio,Serie A,2022-2023,,,,,,,,LW,,,,,,,,,
268,Elseid Hysaj,"€ 71,154","€ 3,700,000",,"Jul 1, 2021","Jun 30, 2025",3.0,"€ 11,100,000",,D,,28.0,Starter,Albania,,,Lazio,Serie A,2022-2023,,,,,,,,RB,,,,,,,,,
269,Matías Vecino,"€ 67,692","€ 3,520,000",,"Aug 1, 2022","Jun 30, 2025",3.0,"€ 10,560,000",,M,,31.0,Reserve,Uruguay,,,Lazio,Serie A,2022-2023,,,,,,,,CM,,,,,,,,,
270,Pedro,"€ 61,731","€ 3,210,000",,"Aug 19, 2021","Jun 30, 2023",1.0,"€ 3,210,000",,F,,35.0,Reserve,Spain,,,Lazio,Serie A,2022-2023,,,,,,,,RW,,,,,,,,,
271,Manuel Lazzari,"€ 60,577","€ 3,150,000",,"Nov 22, 2022","Jun 30, 2027",5.0,"€ 15,750,000",,D,,29.0,Reserve,Italy,,,Lazio,Serie A,2022-2023,,,,,,,,RB,,,,,,,,,
272,Felipe Anderson,"€ 54,231","€ 2,820,000",,"Jul 16, 2021","Jun 30, 2024",2.0,"€ 5,640,000",,F,,29.0,Starter,Brazil,,,Lazio,Serie A,2022-2023,,,,,,,,RW,,,,,,,,,
273,Danilo Cataldi,"€ 49,808","€ 2,590,000",,"Jul 1, 2019","Jun 30, 2024",2.0,"€ 5,180,000",,M,,28.0,Starter,Italy,,,Lazio,Serie A,2022-2023,,,,,,,,DM,,,,,,,,,
274,Luca Pellegrini,"€ 46,346","€ 2,410,000",,"Jan 31, 2023","Jun 30, 2023",1.0,"€ 2,410,000",,D,,23.0,Reserve,Italy,,,Lazio,Serie A,2022-2023,,,,,,,,LB,,,,,,,,,
275,Stefan Radu,"€ 42,692","€ 2,220,000",,"Aug 19, 2021","Jun 30, 2023",1.0,"€ 2,220,000",,D,,36.0,Reserve,Romania,,,Lazio,Serie A,2022-2023,,,,,,,,LB,,,,,,,,,
276,Patric,"€ 42,692","€ 2,220,000",,"Jul 5, 2022","Jun 30, 2027",5.0,"€ 11,100,000",,D,,29.0,Reserve,Spain,,,Lazio,Serie A,2022-2023,,,,,,,,CB,,,,,,,,,
277,Mohamed Fares,"€ 42,692","€ 2,220,000",,"Oct 1, 2020","Jun 30, 2025",3.0,"€ 6,660,000",,M,,26.0,Reserve,Algeria,,,Lazio,Serie A,2022-2023,,,,,,,,LM,,,,,,,,,
278,Nicolò Casale,"€ 35,577","€ 1,850,000",,"Jul 8, 2022","Jun 30, 2027",5.0,"€ 9,250,000",,D,,24.0,Starter,Italy,,,Lazio,Serie A,2022-2023,,,,,,,,CB,,,,,,,,,
279,Matteo Cancellieri,"€ 35,577","€ 1,850,000",,"Jul 1, 2022","Jun 30, 2023",1.0,"€ 1,850,000",,F,,20.0,Reserve,Italy,,,Lazio,Serie A,2022-2023,,,,,,,,RW,,,,,,,,,
280,Ivan Provedel,"€ 35,577","€ 1,850,000",,"Aug 8, 2022","Jun 30, 2027",5.0,"€ 9,250,000",,K,,28.0,Starter,Italy,,,Lazio,Serie A,2022-2023,,,,,,,,GK,,,,,,,,,
281,Toma Basic,"€ 34,423","€ 1,790,000",,"Aug 25, 2021","Jun 30, 2026",4.0,"€ 7,160,000",,M,,26.0,Reserve,Croatia,,,Lazio,Serie A,2022-2023,,,,,,,,CM,,,,,,,,,
282,Adam Marusic,"€ 32,115","€ 1,670,000",,"Mar 30, 2022","Jun 30, 2025",3.0,"€ 5,010,000",,D,,30.0,Starter,Montenegro,,,Lazio,Serie A,2022-2023,,,,,,,,RB,,,,,,,,,
283,Luís Maximiano,"€ 24,615","€ 1,280,000",,"Jul 13, 2022","Jun 30, 2027",5.0,"€ 6,400,000",,K,,24.0,Reserve,Portugal,,,Lazio,Serie A,2022-2023,,,,,,,,GK,,,,,,,,,
284,Marcos Antônio,"€ 22,115","€ 1,150,000",,"Jul 1, 2022","Jun 30, 2027",5.0,"€ 5,750,000",,M,,22.0,Reserve,Brazil,,,Lazio,Serie A,2022-2023,,,,,,,,CM,,,,,,,,,
285,Mario Gila,"€ 12,308","€ 640,000",,"Jul 12, 2022","Jun 30, 2027",5.0,"€ 3,200,000",,D,,22.0,Reserve,Spain,,,Lazio,Serie A,2022-2023,,,,,,,,CB,,,,,,,,,
286,Luka Romero,"€ 9,808","€ 510,000",,"Jul 20, 2021","Jun 30, 2023",1.0,"€ 510,000",,F,,18.0,Reserve,Argentina,,,Lazio,Serie A,2022-2023,,,,,,,,RW,,,,,,,,,
287,Marius Adamonis,"€ 3,654","€ 190,000",,"Jul 1, 2017","Jun 30, 2025",3.0,"€ 570,000",,K,,25.0,Reserve,Lithuania,,,Lazio,Serie A,2022-2023,,,,,,,,GK,,,,,,,,,
288,Diego González,"€ 2,500","€ 130,000",,"Jan 31, 2023","Jun 30, 2023",1.0,"€ 130,000",,F,,20.0,Reserve,Paraguay,,,Lazio,Serie A,2022-2023,,,,,,,,LW,,,,,,,,,
289,Marco Bertini,"€ 1,346","€ 70,000",,"Jul 1, 2022","Jun 30, 2024",2.0,"€ 140,000",,M,,20.0,Reserve,Italy,,,Lazio,Serie A,2022-2023,,,,,,,,DM,,,,,,,,,
290,Total,"€ 1,312,883","€ 68,270,000","€ 2,590,000",,,,"€ 217,340,000",€ 0,,,,,,,,Lazio,Serie A,2022-2023,,,,,,,,,,,,,,,,,
291,Samuel Umtiti,"€ 236,731","€ 12,310,000",,"Aug 25, 2022","Jun 30, 2023",1.0,"€ 12,310,000",,D,,29.0,Starter,France,,,Lecce,Serie A,2022-2023,,,,,,,,,CB,,,,,,,,
292,Marin Pongracic,"€ 48,077","€ 2,500,000",,"Aug 22, 2022","Jun 30, 2023",1.0,"€ 2,500,000",,D,,25.0,Reserve,Croatia,,,Lecce,Serie A,2022-2023,,,,,,,,,CB,,,,,,,,
293,Federico Di Francesco,"€ 26,731","€ 1,390,000",,"Jul 31, 2022","Jun 30, 2025",3.0,"€ 4,170,000",,F,,28.0,Starter,Italy,,,Lecce,Serie A,2022-2023,,,,,,,,,LW,,,,,,,,
294,Youssef Maleh,"€ 25,000","€ 1,300,000",,"Jan 3, 2023","Jun 30, 2023",1.0,"€ 1,300,000",,M,,24.0,Reserve,Morocco,,,Lecce,Serie A,2022-2023,,,,,,,,,CM,,,,,,,,
295,Assan Ceesay,"€ 24,615","€ 1,280,000",,"Jul 1, 2022","Jun 30, 2024",2.0,"€ 2,560,000",,F,,28.0,Reserve,The Gambia,,,Lecce,Serie A,2022-2023,,,,,,,,,CF,,,,,,,,
296,Antonino Gallo,"€ 18,462","€ 960,000",,"Dec 9, 2022","Jun 30, 2026",4.0,"€ 3,840,000",,D,,23.0,Starter,Italy,,,Lecce,Serie A,2022-2023,,,,,,,,,LB,,,,,,,,
297,Rémi Oudin,"€ 18,077","€ 940,000",,"Aug 31, 2022","Jun 30, 2023",1.0,"€ 940,000",,F,,26.0,Reserve,France,,,Lecce,Serie A,2022-2023,,,,,,,,,RW,,,,,,,,
298,Simone Romagnoli,"€ 17,885","€ 930,000",,"Jan 31, 2023","Jun 30, 2023",1.0,"€ 930,000",,D,,32.0,Reserve,Italy,,,Lecce,Serie A,2022-2023,,,,,,,,,CB,,,,,,,,
299,Alessandro Tuia,"€ 14,231","€ 740,000",,"Jul 1, 2021","Jun 30, 2023",1.0,"€ 740,000",,D,,32.0,Reserve,Italy,,,Lecce,Serie A,2022-2023,,,,,,,,,CB,,,,,,,,
300,Giuseppe Pezzella,"€ 12,500","€ 650,000",,"Aug 26, 2022","Jun 30, 2023",1.0,"€ 650,000",,D,,25.0,Reserve,Italy,,,Lecce,Serie A,2022-2023,,,,,,,,,LB,,,,,,,,
301,Joan González,"€ 12,308","€ 640,000",,"Dec 6, 2022","Jun 30, 2027",5.0,"€ 3,200,000",,M,,21.0,Starter,Spain,,,Lecce,Serie A,2022-2023,,,,,,,,,CM,,,,,,,,
302,Alexis Blin,"€ 12,308","€ 640,000",,"Jul 1, 2021","Jun 30, 2025",3.0,"€ 1,920,000",,M,,26.0,Starter,France,,,Lecce,Serie A,2022-2023,,,,,,,,,DM,,,,,,,,
303,Lameck Banda,"€ 12,308","€ 640,000",,"Aug 4, 2022","Jun 30, 2026",4.0,"€ 2,560,000",,F,,22.0,Reserve,Zambia,,,Lecce,Serie A,2022-2023,,,,,,,,,LW,,,,,,,,
304,Kastriot Dermaku,"€ 10,769","€ 560,000",,"Aug 30, 2021","Jun 30, 2024",2.0,"€ 1,120,000",,D,,31.0,Reserve,Albania,,,Lecce,Serie A,2022-2023,,,,,,,,,CB,,,,,,,,
305,Lorenzo Colombo,"€ 10,769","€ 560,000",,"Jul 7, 2022","Jun 30, 2023",1.0,"€ 560,000",,F,,20.0,Starter,Italy,,,Lecce,Serie A,2022-2023,,,,,,,,,CF,,,,,,,,
306,Pietro Ceccaroni,"€ 10,769","€ 560,000",,"Jan 31, 2023","Jun 30, 2023",1.0,"€ 560,000",,D,,27.0,Reserve,Italy,,,Lecce,Serie A,2022-2023,,,,,,,,,CB,,,,,,,,
307,Federico Baschirotto,"€ 10,769","€ 560,000",,"Jul 12, 2022","Jun 30, 2025",3.0,"€ 1,680,000",,D,,26.0,Starter,Italy,,,Lecce,Serie A,2022-2023,,,,,,,,,CB,,,,,,,,
308,Marco Bleve,"€ 10,385","€ 540,000",,"Jun 30, 2021","Jun 30, 2023",1.0,"€ 540,000",,K,,27.0,Reserve,Italy,,,Lecce,Serie A,2022-2023,,,,,,,,,GK,,,,,,,,
309,Gabriel Strefezza,"€ 8,846","€ 460,000",,"Aug 12, 2021","Jun 30, 2025",3.0,"€ 1,380,000",,F,,25.0,Starter,Brazil,,,Lecce,Serie A,2022-2023,,,,,,,,,RW,,,,,,,,
310,Morten Hjulmand,"€ 7,115","€ 370,000",,"Jan 16, 2021","Jun 30, 2024",2.0,"€ 740,000",,M,,23.0,Starter,Denmark,,,Lecce,Serie A,2022-2023,,,,,,,,,DM,,,,,,,,
311,Joel Voelkerling Persson,"€ 3,654","€ 190,000",,"Jul 13, 2022","Jun 30, 2027",5.0,"€ 950,000",,F,,20.0,Reserve,Sweden,,,Lecce,Serie A,2022-2023,,,,,,,,,CF,,,,,,,,
312,Daniel Samek,"€ 3,654","€ 190,000",,"Jul 30, 2022","Jun 30, 2027",5.0,"€ 950,000",,M,,18.0,Reserve,Czech Republic,,,Lecce,Serie A,2022-2023,,,,,,,,,DM,,,,,,,,
313,Tommaso Cassandro,"€ 3,654","€ 190,000",,"Jan 17, 2023","Jun 30, 2025",3.0,"€ 570,000",,D,,23.0,Reserve,Italy,,,Lecce,Serie A,2022-2023,,,,,,,,,RB,,,,,,,,
314,Federico Brancolini,"€ 2,885","€ 150,000",,"Jul 1, 2022","Jun 30, 2027",5.0,"€ 750,000",,K,,21.0,Reserve,Italy,,,Lecce,Serie A,2022-2023,,,,,,,,,GK,,,,,,,,
315,Wladimiro Falcone,"€ 2,885","€ 150,000",,"Jul 17, 2022","Jun 30, 2023",1.0,"€ 150,000",,K,,27.0,Starter,Italy,,,Lecce,Serie A,2022-2023,,,,,,,,,GK,,,,,,,,
316,Kristoffer Askildsen,"€ 2,500","€ 130,000",,"Jul 17, 2022","Jun 30, 2023",1.0,"€ 130,000",,M,,22.0,Reserve,Norway,,,Lecce,Serie A,2022-2023,,,,,,,,,CM,,,,,,,,
317,Valentin Gendrey,"€ 2,308","€ 120,000",,"Jul 29, 2021","Jun 30, 2024",2.0,"€ 240,000",,D,,22.0,Starter,France,,,Lecce,Serie A,2022-2023,,,,,,,,,RB,,,,,,,,
318,Mats Lemmens,"€ 1,154","€ 60,000",,"Jul 1, 2022","Jun 30, 2023",1.0,"€ 60,000",,D,,20.0,Reserve,Belgium,,,Lecce,Serie A,2022-2023,,,,,,,,,RB,,,,,,,,
319,Medon Berisha,€ 962,"€ 50,000",,"Jul 1, 2022","Jun 30, 2023",1.0,"€ 50,000",,M,,19.0,Reserve,Albania,,,Lecce,Serie A,2022-2023,,,,,,,,,CM,,,,,,,,
320,Jasper Samooja,€ 769,"€ 40,000",,"Jul 1, 2022","Jun 30, 2023",1.0,"€ 40,000",,K,,19.0,Reserve,Finland,,,Lecce,Serie A,2022-2023,,,,,,,,,GK,,,,,,,,
321,Thórir Jóhann Helgason,€ 577,"€ 30,000",,"Jul 15, 2021","Jun 30, 2025",3.0,"€ 90,000",,M,,22.0,Reserve,Iceland,,,Lecce,Serie A,2022-2023,,,,,,,,,CM,,,,,,,,
322,Total,"€ 573,657","€ 29,830,000",€ 0,,,,"€ 48,180,000",€ 0,,,,,,,,Lecce,Serie A,2022-2023,,,,,,,,,,,,,,,,,
323,Pablo Marí,"€ 100,000","€ 5,200,000",,"Aug 11, 2022","Jun 30, 2023",1.0,"€ 5,200,000",,D,,29.0,Starter,Spain,,,Monza,Serie A,2022-2023,,,,,,,,,,CB,,,,,,,
