,Player,Gross P/W(EUR),Gross P/Y(EUR),Gross P/Y(EUR).1,Signed,"Contract Expiration Dec 31, 2023Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027",Years Remaining 12345,Gross Remaining(EUR),Release Clause(EUR),Pos. DFKM,Pos. AMCBCFCMDMGKLBLWRBRW,Age,Status ReserveStarter,Country,Active,Loan,Team,League,Season,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027Jun 30, 2028",Years Remaining 123456,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027",Pos. AMCBCFCMDMGKLBLWRBRWSS,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026",Years Remaining 1234,Pos. AMCBCFCMDMGKLBLWRBRMRW,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2027",Years Remaining 1235,Pos. AMCBCFCMDMGKLBLWRBRM,Pos. CBCFCMDMGKLBLWRBRWSS,Pos. AMCBCFCMGKLBLWRBSS,Pos. AMCBCFCMDMGKLBRBRWSS,Pos. AMCBCFCMDMGKLBRBSS,Pos. AMCBCFCMDMGKLBLMLWRBRWSS
199,Benjamin Uphoff,"€ 7,308","€ 380,000",,"Aug 5, 2020",,,"€ 380,000",,K,,29.0,Reserve,Germany,,,Freiburg,Bundesliga,2022-2023,,,,GK,,,,"Jun 30, 2023",1.0,,,,,,
200,Daniel-Kofi Kyereh,"€ 6,923","€ 360,000",,"Jul 1, 2022",,,"€ 360,000",,F,,26.0,Reserve,Ghana,,,Freiburg,Bundesliga,2022-2023,,,,AM,,,,"Jun 30, 2023",1.0,,,,,,
201,Mark Flekken,"€ 6,731","€ 350,000",,"Sep 13, 2022",,,"€ 350,000",,K,,29.0,Starter,Netherlands,,,Freiburg,Bundesliga,2022-2023,,,,GK,,,,"Jun 30, 2023",1.0,,,,,,
202,Lukas Kübler,"€ 4,808","€ 250,000",,"May 3, 2021",,,"€ 250,000",,D,,30.0,Starter,Germany,,,Freiburg,Bundesliga,2022-2023,,,,RB,,,,"Jun 30, 2023",1.0,,,,,,
203,Robert Wagner,"€ 2,308","€ 120,000",,"Jul 1, 2022",,,"€ 240,000",,M,,19.0,Reserve,Germany,,,Freiburg,Bundesliga,2022-2023,,,,CM,,,,"Jun 30, 2024",2.0,,,,,,
204,Kiliann Sildillia,"€ 2,115","€ 110,000",,"Jul 1, 2021",,,"€ 220,000",,D,,20.0,Reserve,France,,,Freiburg,Bundesliga,2022-2023,,,,RB,,,,"Jun 30, 2024",2.0,,,,,,
205,Kimberly Ezekwem,"€ 2,115","€ 110,000",,"Jul 1, 2021",,,"€ 110,000",,D,,21.0,Reserve,Germany,,,Freiburg,Bundesliga,2022-2023,,,,LB,,,,"Jun 30, 2023",1.0,,,,,,
206,Noah Weißhaupt,"€ 1,731","€ 90,000",,"Jul 1, 2021",,,"€ 90,000",,F,,21.0,Reserve,Germany,,,Freiburg,Bundesliga,2022-2023,,,,LW,,,,"Jun 30, 2023",1.0,,,,,,
207,Yannik Keitel,"€ 1,346","€ 70,000",,"Apr 16, 2020",,,"€ 140,000",,M,,22.0,Reserve,Germany,,,Freiburg,Bundesliga,2022-2023,,,,DM,,,,"Jun 30, 2024",2.0,,,,,,
208,Noah Atubolu,"€ 1,154","€ 60,000",,"Oct 10, 2022",,,"€ 60,000",,K,,20.0,Reserve,Germany,,,Freiburg,Bundesliga,2022-2023,,,,GK,,,,"Jun 30, 2023",1.0,,,,,,
209,Merlin Röhl,"€ 1,154","€ 60,000",,"Aug 17, 2022",,,"€ 60,000",,M,,20.0,Reserve,Germany,,,Freiburg,Bundesliga,2022-2023,,,,CM,,,,"Jun 30, 2023",1.0,,,,,,
210,Kenneth Schmidt,€ 0,€ 0,,"Jan 1, 2023",,,€ 0,,D,,20.0,Reserve,Germany,,,Freiburg,Bundesliga,2022-2023,,,,CB,,,,"Jun 30, 2023",1.0,,,,,,
211,Total,"€ 367,308","€ 19,100,000",€ 0,,,,"€ 53,660,000",€ 0,,,,,,,,Freiburg,Bundesliga,2022-2023,,,,,,,,,,,,,,,
212,Suat Serdar,"€ 60,192","€ 3,130,000",,"Jul 1, 2021",,4.0,"€ 12,520,000",,M,CM,25.0,Starter,Germany,,,Hertha Berlin,Bundesliga,2022-2023,,,"Jun 30, 2026",,,,,,,,,,,,
213,Lucas Tousart,"€ 50,000","€ 2,600,000",,"Jan 27, 2020",,3.0,"€ 7,800,000",,M,DM,25.0,Starter,France,,,Hertha Berlin,Bundesliga,2022-2023,,,"Jun 30, 2025",,,,,,,,,,,,
214,Dodi Lukébakio,"€ 48,077","€ 2,500,000",,"Aug 1, 2019",,2.0,"€ 5,000,000",,F,RW,25.0,Reserve,Belgium,,,Hertha Berlin,Bundesliga,2022-2023,,,"Jun 30, 2024",,,,,,,,,,,,
215,Rune Jarstein,"€ 40,000","€ 2,080,000",,"May 13, 2021",,1.0,"€ 2,080,000",,K,GK,38.0,Reserve,Norway,,,Hertha Berlin,Bundesliga,2022-2023,,,"Jun 30, 2023",,,,,,,,,,,,
216,Chidera Ejuke,"€ 31,154","€ 1,620,000",,"Jul 13, 2022",,1.0,"€ 1,620,000",,F,LW,25.0,Reserve,Nigeria,,,Hertha Berlin,Bundesliga,2022-2023,,,"Jun 30, 2023",,,,,,,,,,,,
217,Marvin Plattenhardt,"€ 28,846","€ 1,500,000",,"Sep 29, 2017",,1.0,"€ 1,500,000",,D,LB,31.0,Starter,Germany,,,Hertha Berlin,Bundesliga,2022-2023,,,"Jun 30, 2023",,,,,,,,,,,,
218,Stevan Jovetic,"€ 25,192","€ 1,310,000",,"Jul 27, 2021",,1.0,"€ 1,310,000",,F,CF,33.0,Reserve,Montenegro,,,Hertha Berlin,Bundesliga,2022-2023,,,"Jun 30, 2023",,,,,,,,,,,,
219,Kevin-Prince Boateng,"€ 23,077","€ 1,200,000",,"Jun 22, 2022",,1.0,"€ 1,200,000",,F,AM,35.0,Reserve,Ghana,,,Hertha Berlin,Bundesliga,2022-2023,,,"Jun 30, 2023",,,,,,,,,,,,
220,Jonjoe Kenny,"€ 23,077","€ 1,200,000",,"Jul 1, 2022",,3.0,"€ 3,600,000",,D,RB,25.0,Reserve,England,,,Hertha Berlin,Bundesliga,2022-2023,,,"Jun 30, 2025",,,,,,,,,,,,
221,Agustín Rogel,"€ 21,923","€ 1,140,000",,"Aug 31, 2022",,4.0,"€ 4,560,000",,D,CB,25.0,Reserve,Uruguay,,,Hertha Berlin,Bundesliga,2022-2023,,,"Jun 30, 2026",,,,,,,,,,,,
222,Marc Oliver Kempf,"€ 20,769","€ 1,080,000",,"Jan 25, 2022",,4.0,"€ 4,320,000",,D,CB,28.0,Starter,Germany,,,Hertha Berlin,Bundesliga,2022-2023,,,"Jun 30, 2026",,,,,,,,,,,,
223,Ivan Sunjic,"€ 20,192","€ 1,050,000",,"Jul 5, 2022",,1.0,"€ 1,050,000",,M,DM,26.0,Reserve,Croatia,,,Hertha Berlin,Bundesliga,2022-2023,,,"Jun 30, 2023",,,,,,,,,,,,
224,Wilfried Kanga,"€ 19,615","€ 1,020,000",,"Jul 30, 2022",,4.0,"€ 4,080,000",,F,CF,24.0,Reserve,Cote d'Ivoire,,,Hertha Berlin,Bundesliga,2022-2023,,,"Jun 30, 2026",,,,,,,,,,,,
225,Maximilian Mittelstädt,"€ 19,038","€ 990,000",,"Jan 18, 2023",,5.0,"€ 4,950,000",,D,LB,25.0,Reserve,Germany,,,Hertha Berlin,Bundesliga,2022-2023,,,"Jun 30, 2027",,,,,,,,,,,,
226,Filip Uremovic,"€ 18,077","€ 940,000",,"Jul 1, 2022",,4.0,"€ 3,760,000",,D,CB,25.0,Starter,Croatia,,,Hertha Berlin,Bundesliga,2022-2023,,,"Jun 30, 2026",,,,,,,,,,,,
227,Jean-Paul Boëtius,"€ 17,308","€ 900,000",,"Aug 8, 2022",,3.0,"€ 2,700,000",,F,AM,28.0,Reserve,Netherlands,,,Hertha Berlin,Bundesliga,2022-2023,,,"Jun 30, 2025",,,,,,,,,,,,
228,Peter Pekarik,"€ 14,231","€ 740,000",,"Jun 3, 2022",,1.0,"€ 740,000",,D,RB,36.0,Reserve,Slovakia,,,Hertha Berlin,Bundesliga,2022-2023,,,"Jun 30, 2023",,,,,,,,,,,,
229,Derry Scherhant,"€ 10,769","€ 560,000",,"Jun 17, 2022",,3.0,"€ 1,680,000",,F,CF,20.0,Reserve,Germany,,,Hertha Berlin,Bundesliga,2022-2023,,,"Jun 30, 2025",,,,,,,,,,,,
230,Oliver Christensen,"€ 8,654","€ 450,000",,"Aug 26, 2021",,4.0,"€ 1,800,000",,K,GK,23.0,Starter,Denmark,,,Hertha Berlin,Bundesliga,2022-2023,,,"Jun 30, 2026",,,,,,,,,,,,
231,Marco Richter,"€ 8,654","€ 450,000",,"Aug 9, 2021",,3.0,"€ 1,350,000",,F,RW,25.0,Starter,Germany,,,Hertha Berlin,Bundesliga,2022-2023,,,"Jun 30, 2025",,,,,,,,,,,,
232,Kelian Nsona,"€ 3,462","€ 180,000",,"Jan 31, 2022",,4.0,"€ 720,000",,F,RW,20.0,Reserve,France,,,Hertha Berlin,Bundesliga,2022-2023,,,"Jun 30, 2026",,,,,,,,,,,,
233,Jessic Ngankam,"€ 2,885","€ 150,000",,"Jul 2, 2022",,3.0,"€ 450,000",,F,CF,22.0,Starter,Germany,,,Hertha Berlin,Bundesliga,2022-2023,,,"Jun 30, 2025",,,,,,,,,,,,
234,Márton Dárdai,"€ 1,346","€ 70,000",,"May 10, 2021",,3.0,"€ 210,000",,D,CB,20.0,Starter,Germany,,,Hertha Berlin,Bundesliga,2022-2023,,,"Jun 30, 2025",,,,,,,,,,,,
235,Lukas Ullrich,"€ 1,154","€ 60,000",,,,1.0,"€ 60,000",,D,LB,18.0,Reserve,Germany,,,Hertha Berlin,Bundesliga,2022-2023,,,"Jun 30, 2023",,,,,,,,,,,,
236,Julian Eitschberger,"€ 1,154","€ 60,000",,"Jul 5, 2022",,4.0,"€ 240,000",,D,RB,18.0,Reserve,Germany,,,Hertha Berlin,Bundesliga,2022-2023,,,"Jun 30, 2026",,,,,,,,,,,,
237,Tjark Ernst,"€ 1,154","€ 60,000",,"Sep 1, 2022",,4.0,"€ 240,000",,K,GK,19.0,Reserve,Germany,,,Hertha Berlin,Bundesliga,2022-2023,,,"Jun 30, 2026",,,,,,,,,,,,
238,Tolga Cigerci,€ 0,€ 0,,"Jan 31, 2023",,2.0,€ 0,,M,DM,30.0,Starter,Turkey,,,Hertha Berlin,Bundesliga,2022-2023,,,"Jun 30, 2024",,,,,,,,,,,,
239,Florian Niederlechner,€ 0,€ 0,,"Jan 18, 2023",,3.0,€ 0,,F,CF,32.0,Starter,Germany,,,Hertha Berlin,Bundesliga,2022-2023,,,"Jun 30, 2025",,,,,,,,,,,,
240,Total,"€ 520,000","€ 27,040,000",€ 0,,,,"€ 69,540,000",€ 0,,,,,,,,Hertha Berlin,Bundesliga,2022-2023,,,,,,,,,,,,,,,
241,Angeliño,"€ 90,385","€ 4,700,000",,"Aug 8, 2022",,1.0,"€ 4,700,000",,D,,26.0,Starter,Spain,,,Hoffenheim,Bundesliga,2022-2023,,,"Jun 30, 2023",,,,,,,LB,,,,,
242,Sebastian Rudy,"€ 84,615","€ 4,400,000",,"Jul 1, 2021",,1.0,"€ 4,400,000",,M,,32.0,Reserve,Germany,,,Hoffenheim,Bundesliga,2022-2023,,,"Jun 30, 2023",,,,,,,DM,,,,,
243,Thomas Delaney,"€ 66,731","€ 3,470,000",,"Jan 30, 2023",,1.0,"€ 3,470,000",,M,,31.0,Starter,Denmark,,,Hoffenheim,Bundesliga,2022-2023,,,"Jun 30, 2023",,,,,,,CM,,,,,
244,Oliver Baumann,"€ 60,577","€ 3,150,000",,"Dec 9, 2021",,2.0,"€ 6,300,000",,K,,32.0,Starter,Germany,,,Hoffenheim,Bundesliga,2022-2023,,,"Jun 30, 2024",,,,,,,GK,,,,,
245,Ozan Kabak,"€ 60,577","€ 3,150,000",,"Jul 23, 2022",,4.0,"€ 12,600,000",,D,,22.0,Starter,Turkey,,,Hoffenheim,Bundesliga,2022-2023,,,"Jun 30, 2026",,,,,,,CB,,,,,
246,Kasper Dolberg,"€ 57,692","€ 3,000,000",,"Jan 2, 2023",,1.0,"€ 3,000,000",,F,,25.0,Reserve,Denmark,,,Hoffenheim,Bundesliga,2022-2023,,,"Jun 30, 2023",,,,,,,CF,,,,,
247,Andrej Kramaric,"€ 55,769","€ 2,900,000",,"Mar 12, 2022",,3.0,"€ 8,700,000",,F,,31.0,Starter,Croatia,,,Hoffenheim,Bundesliga,2022-2023,,,"Jun 30, 2025",,,,,,,CF,,,,,
248,Munas Dabbur,"€ 38,462","€ 2,000,000",,"Jan 7, 2020",,2.0,"€ 4,000,000",,F,,30.0,Reserve,Israel,,,Hoffenheim,Bundesliga,2022-2023,,,"Jun 30, 2024",,,,,,,CF,,,,,
249,Robert Skov,"€ 34,615","€ 1,800,000",,"Jul 29, 2019",,2.0,"€ 3,600,000",,M,,26.0,Reserve,Denmark,,,Hoffenheim,Bundesliga,2022-2023,,,"Jun 30, 2024",,,,,,,RM,,,,,
250,Ihlas Bebou,"€ 32,692","€ 1,700,000",,"Dec 17, 2021",,4.0,"€ 6,800,000",,F,,28.0,Starter,Togo,,,Hoffenheim,Bundesliga,2022-2023,,,"Jun 30, 2026",,,,,,,CF,,,,,
251,Pavel Kaderabek,"€ 32,692","€ 1,700,000",,"Jan 27, 2022",,3.0,"€ 5,100,000",,D,,30.0,Reserve,Czech Republic,,,Hoffenheim,Bundesliga,2022-2023,,,"Jun 30, 2025",,,,,,,RB,,,,,
252,Kevin Vogt,"€ 32,692","€ 1,700,000",,"Jan 13, 2022",,3.0,"€ 5,100,000",,D,,31.0,Reserve,Germany,,,Hoffenheim,Bundesliga,2022-2023,,,"Jun 30, 2025",,,,,,,CB,,,,,
253,Angelo Stiller,"€ 23,077","€ 1,200,000",,"Jul 1, 2021",,3.0,"€ 3,600,000",,M,,21.0,Reserve,Germany,,,Hoffenheim,Bundesliga,2022-2023,,,"Jun 30, 2025",,,,,,,DM,,,,,
254,Ermin Bicakcic,"€ 23,077","€ 1,200,000",,"Jun 23, 2022",,1.0,"€ 1,200,000",,D,,33.0,Reserve,Bosnia-Herzegovina,,,Hoffenheim,Bundesliga,2022-2023,,,"Jun 30, 2023",,,,,,,CB,,,,,
255,Stanley Nsoki,"€ 21,923","€ 1,140,000",,"Aug 3, 2022",,5.0,"€ 5,700,000",,D,,23.0,Starter,France,,,Hoffenheim,Bundesliga,2022-2023,,,"Jun 30, 2027",,,,,,,CB,,,,,
256,Dennis Geiger,"€ 19,038","€ 990,000",,"Sep 17, 2021",,1.0,"€ 990,000",,M,,24.0,Starter,Germany,,,Hoffenheim,Bundesliga,2022-2023,,,"Jun 30, 2023",,,,,,,CM,,,,,
257,Grischa Prömel,"€ 18,462","€ 960,000",,"Jul 1, 2022",,4.0,"€ 3,840,000",,M,,28.0,Reserve,Germany,,,Hoffenheim,Bundesliga,2022-2023,,,"Jun 30, 2026",,,,,,,CM,,,,,
258,Kevin Akpoguma,"€ 16,731","€ 870,000",,"Jan 15, 2020",,2.0,"€ 1,740,000",,D,,27.0,Starter,Nigeria,,,Hoffenheim,Bundesliga,2022-2023,,,"Jun 30, 2024",,,,,,,CB,,,,,
259,Muhammed Damar,"€ 9,231","€ 480,000",,"Jul 1, 2022",,4.0,"€ 1,920,000",,F,,18.0,Reserve,Germany,,,Hoffenheim,Bundesliga,2022-2023,,,"Jun 30, 2026",,,,,,,AM,,,,,
260,Fisnik Asllani,"€ 8,654","€ 450,000",,"Sep 30, 2022",,4.0,"€ 1,800,000",,F,,20.0,Reserve,Germany,,,Hoffenheim,Bundesliga,2022-2023,,,"Jun 30, 2026",,,,,,,CF,,,,,
261,Jacob Bruun Larsen,"€ 8,654","€ 450,000",,"Jan 31, 2020",,2.0,"€ 900,000",,F,,24.0,Reserve,Denmark,,,Hoffenheim,Bundesliga,2022-2023,,,"Jun 30, 2024",,,,,,,LW,,,,,
262,Christoph Baumgartner,"€ 7,500","€ 390,000",,"Mar 5, 2021",,3.0,"€ 1,170,000",,F,,23.0,Starter,Austria,,,Hoffenheim,Bundesliga,2022-2023,,,"Jun 30, 2025",,,,,,,AM,,,,,
263,Finn Ole Becker,"€ 6,923","€ 360,000",,"Jul 1, 2022",,4.0,"€ 1,440,000",,M,,22.0,Reserve,Germany,,,Hoffenheim,Bundesliga,2022-2023,,,"Jun 30, 2026",,,,,,,CM,,,,,
264,Eduardo Quaresma,"€ 4,808","€ 250,000",,"Aug 4, 2022",,1.0,"€ 250,000",,D,,20.0,Reserve,Portugal,,,Hoffenheim,Bundesliga,2022-2023,,,"Jun 30, 2023",,,,,,,CB,,,,,
265,Philipp Pentke,"€ 3,077","€ 160,000",,"Jan 25, 2022",,1.0,"€ 160,000",,K,,37.0,Reserve,Germany,,,Hoffenheim,Bundesliga,2022-2023,,,"Jun 30, 2023",,,,,,,GK,,,,,
266,Tom Bischof,"€ 1,538","€ 80,000",,"Jan 28, 2022",,3.0,"€ 240,000",,F,,17.0,Reserve,Germany,,,Hoffenheim,Bundesliga,2022-2023,,,"Jun 30, 2025",,,,,,,AM,,,,,
267,Nahue Noll,€ 769,"€ 40,000",,"Jul 16, 2021",,3.0,"€ 120,000",,K,,19.0,Reserve,Germany,,,Hoffenheim,Bundesliga,2022-2023,,,"Jun 30, 2025",,,,,,,GK,,,,,
268,Luca Philipp,€ 769,"€ 40,000",,"Jul 16, 2021",,1.0,"€ 40,000",,K,,22.0,Reserve,Germany,,,Hoffenheim,Bundesliga,2022-2023,,,"Jun 30, 2023",,,,,,,GK,,,,,
269,John Anthony Brooks,€ 0,€ 0,,"Jan 26, 2023",,2.0,€ 0,,D,,30.0,Starter,United States,,,Hoffenheim,Bundesliga,2022-2023,,,"Jun 30, 2024",,,,,,,CB,,,,,
270,Justin Che,€ 0,€ 0,,"Jan 18, 2023",,1.0,€ 0,,D,,19.0,Reserve,United States,,,Hoffenheim,Bundesliga,2022-2023,,,"Jun 30, 2023",,,,,,,RB,,,,,
271,Umut Tohumcu,€ 0,€ 0,,"Jan 18, 2023",,4.0,€ 0,,M,,18.0,Reserve,Germany,,,Hoffenheim,Bundesliga,2022-2023,,,"Jun 30, 2026",,,,,,,CM,,,,,
272,Total,"€ 821,730","€ 42,730,000",€ 0,,,,"€ 92,880,000",€ 0,,,,,,,,Hoffenheim,Bundesliga,2022-2023,,,,,,,,,,,,,,,
273,Jonas Hector,"€ 63,462","€ 3,300,000",,"Apr 23, 2018",,,"€ 3,300,000",,D,,32.0,Starter,Germany,,,Koln,Bundesliga,2022-2023,,,,,"Jun 30, 2023",1.0,,,,,LB,,,,
274,Kingsley Schindler,"€ 49,423","€ 2,570,000",,"Jul 1, 2019",,,"€ 2,570,000",,D,,29.0,Reserve,Germany,,,Koln,Bundesliga,2022-2023,,,,,"Jun 30, 2023",1.0,,,,,RB,,,,
275,Timo Horn,"€ 48,077","€ 2,500,000",,"May 4, 2018",,,"€ 2,500,000",,K,,29.0,Reserve,Germany,,,Koln,Bundesliga,2022-2023,,,,,"Jun 30, 2023",1.0,,,,,GK,,,,
276,Ellyes Skhiri,"€ 32,692","€ 1,700,000",,"Jul 29, 2019",,,"€ 1,700,000",,M,,27.0,Starter,Tunisia,,,Koln,Bundesliga,2022-2023,,,,,"Jun 30, 2023",1.0,,,,,DM,,,,
277,Davie Selke,"€ 28,846","€ 1,500,000","€ 500,000","Jan 2, 2023",,,"€ 3,000,000",,F,,28.0,Reserve,Germany,,,Koln,Bundesliga,2022-2023,,,,,"Jun 30, 2024",2.0,,,,,CF,,,,
278,Florian Kainz,"€ 23,077","€ 1,200,000",,"Jan 18, 2023",,,"€ 3,600,000",,F,,30.0,Starter,Austria,,,Koln,Bundesliga,2022-2023,,,,,"Jun 30, 2025",3.0,,,,,LW,,,,
279,Mark Uth,"€ 21,923","€ 1,140,000",,"Jan 20, 2023",,,"€ 3,420,000",,F,,31.0,Reserve,Germany,,,Koln,Bundesliga,2022-2023,,,,,"Jun 30, 2025",3.0,,,,,CF,,,,
280,Dejan Ljubicic,"€ 18,654","€ 970,000",,"Jul 1, 2021",,,"€ 2,910,000",,M,,25.0,Reserve,Austria,,,Koln,Bundesliga,2022-2023,,,,,"Jun 30, 2025",3.0,,,,,DM,,,,
281,Sebastian Andersson,"€ 17,115","€ 890,000",,"Sep 15, 2020",,,"€ 890,000",,F,,31.0,Reserve,Sweden,,,Koln,Bundesliga,2022-2023,,,,,"Jun 30, 2023",1.0,,,,,CF,,,,
282,Kristian Pedersen,"€ 16,154","€ 840,000",,"Jul 1, 2022",,,"€ 1,680,000",,D,,28.0,Reserve,Denmark,,,Koln,Bundesliga,2022-2023,,,,,"Jun 30, 2024",2.0,,,,,LB,,,,
283,Steffen Tigges,"€ 12,692","€ 660,000",,"Jul 1, 2022",,,"€ 2,640,000",,F,,24.0,Starter,Germany,,,Koln,Bundesliga,2022-2023,,,,,"Jun 30, 2026",4.0,,,,,CF,,,,
284,Sargis Adamyan,"€ 11,538","€ 600,000",,"Jul 5, 2022",,,"€ 2,400,000",,F,,29.0,Reserve,Armenia,,,Koln,Bundesliga,2022-2023,,,,,"Jun 30, 2026",4.0,,,,,CF,,,,
285,Benno Schmitz,"€ 11,154","€ 580,000",,"Mar 3, 2022",,,"€ 1,160,000",,D,,28.0,Starter,Germany,,,Koln,Bundesliga,2022-2023,,,,,"Jun 30, 2024",2.0,,,,,RB,,,,
286,Julian Chabot,"€ 7,308","€ 380,000",,"Jan 26, 2022",,,"€ 380,000",,D,,24.0,Starter,Germany,,,Koln,Bundesliga,2022-2023,,,,,"Jun 30, 2023",1.0,,,,,CB,,,,
287,Dimitrios Limnios,"€ 7,115","€ 370,000",,"Sep 21, 2020",,,"€ 740,000",,F,,24.0,Reserve,Greece,,,Koln,Bundesliga,2022-2023,,,,,"Jun 30, 2024",2.0,,,,,RW,,,,
288,Marvin Schwäbe,"€ 7,115","€ 370,000",,"Jul 1, 2021",,,"€ 740,000",,K,,27.0,Starter,Germany,,,Koln,Bundesliga,2022-2023,,,,,"Jun 30, 2024",2.0,,,,,GK,,,,
289,Linton Maina,"€ 6,923","€ 360,000",,"Jul 1, 2022",,,"€ 1,080,000",,F,,23.0,Starter,Germany,,,Koln,Bundesliga,2022-2023,,,,,"Jun 30, 2025",3.0,,,,,RW,,,,
290,Florian Dietz,"€ 5,769","€ 300,000",,"Jul 1, 2022",,,"€ 900,000",,F,,24.0,Reserve,Germany,,,Koln,Bundesliga,2022-2023,,,,,"Jun 30, 2025",3.0,,,,,CF,,,,
291,Eric Martel,"€ 5,192","€ 270,000",,"Jul 1, 2022",,,"€ 1,080,000",,M,,20.0,Starter,Germany,,,Koln,Bundesliga,2022-2023,,,,,"Jun 30, 2026",4.0,,,,,DM,,,,
292,Denis Huseinbasic,"€ 4,615","€ 240,000",,"Jul 1, 2022",,,"€ 720,000",,M,,21.0,Starter,Germany,,,Koln,Bundesliga,2022-2023,,,,,"Jun 30, 2025",3.0,,,,,CM,,,,
293,Timo Hübers,"€ 3,846","€ 200,000",,"Jul 1, 2021",,,"€ 200,000",,D,,26.0,Starter,Germany,,,Koln,Bundesliga,2022-2023,,,,,"Jun 30, 2023",1.0,,,,,CB,,,,
294,Nikola Soldo,"€ 3,462","€ 180,000",,"Sep 1, 2022",,,"€ 540,000",,D,,22.0,Reserve,Croatia,,,Koln,Bundesliga,2022-2023,,,,,"Jun 30, 2025",3.0,,,,,CB,,,,
295,Luca Kilian,"€ 2,885","€ 150,000",,"Jul 1, 2022",,,"€ 450,000",,D,,23.0,Reserve,Germany,,,Koln,Bundesliga,2022-2023,,,,,"Jun 30, 2025",3.0,,,,,CB,,,,
296,Jan Thielmann,"€ 2,500","€ 130,000",,"Apr 30, 2021",,,"€ 260,000",,F,,20.0,Reserve,Germany,,,Koln,Bundesliga,2022-2023,,,,,"Jun 30, 2024",2.0,,,,,RW,,,,
297,Georg Strauch,"€ 2,308","€ 120,000",,,,,"€ 240,000",,M,,21.0,Reserve,Germany,,,Koln,Bundesliga,2022-2023,,,,,"Jun 30, 2024",2.0,,,,,DM,,,,
298,Rijad Smajic,"€ 2,308","€ 120,000",,,,,"€ 360,000",,D,,18.0,Reserve,Bosnia-Herzegovina,,,Koln,Bundesliga,2022-2023,,,,,"Jun 30, 2025",3.0,,,,,CB,,,,
299,Tim Lemperle,€ 769,"€ 40,000",,"Jul 1, 2020",,,"€ 40,000",,F,,20.0,Reserve,Germany,,,Koln,Bundesliga,2022-2023,,,,,"Jun 30, 2023",1.0,,,,,CF,,,,
300,Mathias Olesen,€ 577,"€ 30,000",,"Feb 4, 2022",,,"€ 90,000",,M,,21.0,Reserve,Luxembourg,,,Koln,Bundesliga,2022-2023,,,,,"Jun 30, 2025",3.0,,,,,CM,,,,
301,Matthias Köbbing,€ 577,"€ 30,000",,"Jan 19, 2023",,,"€ 90,000",,K,,25.0,Reserve,Germany,,,Koln,Bundesliga,2022-2023,,,,,"Jun 30, 2025",3.0,,,,,GK,,,,
302,Maximilian Schmid,€ 0,€ 0,,"Jan 6, 2022",,,€ 0,,F,,19.0,Reserve,Germany,,,Koln,Bundesliga,2022-2023,,,,,"Jun 30, 2024",2.0,,,,,CF,,,,
303,Joshua Schwirten,€ 0,€ 0,,"Jul 1, 2021",,,€ 0,,M,,21.0,Reserve,Germany,,,Koln,Bundesliga,2022-2023,,,,,"Jun 30, 2023",1.0,,,,,CM,,,,
304,Julian Roloff,€ 0,€ 0,,"Jan 15, 2023",,,€ 0,,K,,22.0,Reserve,Germany,,,Koln,Bundesliga,2022-2023,,,,,"Jun 30, 2024",2.0,,,,,GK,,,,
305,Justin Diehl,€ 0,€ 0,,"Jan 1, 2023",,,€ 0,,F,,18.0,Reserve,Germany,,,Koln,Bundesliga,2022-2023,,,,,"Jun 30, 2024",2.0,,,,,SS,,,,
306,Total,"€ 418,076","€ 21,740,000","€ 500,000",,,,"€ 39,680,000",€ 0,,,,,,,,Koln,Bundesliga,2022-2023,,,,,,,,,,,,,,,
307,Timo Werner,"€ 192,308","€ 10,000,000","€ 2,000,000","Aug 9, 2022",,4.0,"€ 40,000,000",,F,,26.0,Starter,Germany,,,Leipzig,Bundesliga,2022-2023,,,"Jun 30, 2026",,,,,,,,,CF,,,
308,Christopher Nkunku,"€ 192,308","€ 10,000,000",,"Jun 23, 2022",,4.0,"€ 40,000,000","€ 60,000,000",F,,25.0,Reserve,France,,,Leipzig,Bundesliga,2022-2023,,,"Jun 30, 2026",,,,,,,,,SS,,,
309,David Raum,"€ 145,192","€ 7,550,000","€ 11,320,000","Jul 31, 2022",,5.0,"€ 37,750,000",,D,,24.0,Reserve,Germany,,,Leipzig,Bundesliga,2022-2023,,,"Jun 30, 2027",,,,,,,,,LB,,,
310,Emil Forsberg,"€ 126,923","€ 6,600,000",,"May 12, 2021",,3.0,"€ 19,800,000",,F,,31.0,Reserve,Sweden,,,Leipzig,Bundesliga,2022-2023,,,"Jun 30, 2025",,,,,,,,,LW,,,
311,Péter Gulácsi,"€ 107,692","€ 5,600,000",,"May 7, 2021",,3.0,"€ 16,800,000",,K,,32.0,Reserve,Hungary,,,Leipzig,Bundesliga,2022-2023,,,"Jun 30, 2025",,,,,,,,,GK,,,
312,Abdou Diallo,"€ 103,846","€ 5,400,000",,"Sep 1, 2022",,1.0,"€ 5,400,000",,D,,26.0,Reserve,Senegal,,,Leipzig,Bundesliga,2022-2023,,,"Jun 30, 2023",,,,,,,,,CB,,,
